MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
235102679,EVER LISSOME,71,9629079,2HDG3,229,106,19,29,14,129905
235102681,EVER LOADING,74,9629081,2HDG4,229,106,33,13,10.1,129905
235110737,EVER LIFTING,71,9629122,2ILJ7,230,105,34,12,11.7,129905
241089000,OCEANIS,80,9532757,SVBC9,278,52,27,33,11.3,124174
241255000,MARAN CLEO,90,9593191,SVBS7,282,51,35,25,11.3,127592
241275000,MARAN GAS APOLLONIA,80,9633422,SVBV2,226,63,23,22,9.2,83403
241288000,SEA PROSPERITY,70,9201061,SVBW2,161,28,6,26,11.6,22673
241290000,MARAN GAS POSIDONIA,81,9633434,SVBW5,226,63,23,22,9.6,83403
241298000,NEPTUNE GALENE,70,9668491,SVBX5,22,147,4,24,8.5,16210
241312000,HYUNDAI  SMART,70,9475686,SVBY2,141,225,19,29,14.1,169408
241313000,HYUNDAI  SPEED,71,9475698,SVBY3,141,225,19,29,12,169408
241353000,MARAN GAS ALEXANDRIA,80,9650054,SVCC2,226,63,23,22,9.5,83403
241355000,MARAN GAS LETO,80,9682576,SVCC3,226,64,24,22,9.2,84272
241365000,MARAN GAS ACHILLES,80,9682588,SVCD3,226,64,24,22,9.4,84272
241415000,MARAN GAS ROXANA,80,9701229,SVCI4,232,63,21,25,9.2,88707
241636000,MARAN GAS CHIOS,80,9753014,SVDD2,232,63,21,25,11.2,88707
241638000,MARAN GAS HYDRA,80,9767962,SVDD4,232,63,21,25,9.3,88707
241692000,MARAN GAS PSARA,80,9844863,SVDG6,235,61,24,22,9.8,89612
241712000,WOODSIDECHARLESALLEN,80,9859753,SVDI5,234,61,24,22,10.9,88707
241743000,YIANNIS,80,9879674,SVDL2,234,61,25,21,7.5,88707
241744000,JOHN A.ANGELICOUSSIS,80,9901350,SVDK6,235,60,25,21,9.9,88707
241832000,ASTERIX I,80,9892298,SVDR7,235,64,14,32,9.2,92364
244040000,HUMBERGRACHT,70,9433274,PBUK,118,20,9,12,5.9,8826
244044000,PRINSENGRACHT,70,9448372,PBVP,155,14,17,8,8.2,16210
244115000,PIJLGRACHT,70,9448358,PCCD,141,27,5,20,8.2,15924
244149000,DANZIGERGRACHT,70,9420796,PBLJ,147,10,11,12,10.1,12996
244170000,JAN VAN GENT,70,9456721,PBUF,136,7,8,11,6,9820
244203000,HAPPY BUCCANEER,70,8300389,PEND,26,120,15,16,7.8,10452
244379000,JUMBO VISION,70,9153642,PBBG,13,97,5,16,5.9,4470
244790607,EEMSLIFT NELLI,70,9671462,PCUT,19,93,7,10,5.8,4718
244810054,JUMBO KINETIC,90,9634165,PCFO,20,132,14,14,8.1,11794
244810443,EEMSLIFT DAFNE,79,9671448,PCXF,12,99,8,11,5.4,4593
244820422,FAIRMASTER,70,9650585,PCYQ,20,132,14,14,7.4,11794
244830812,ALP GUARD,52,9398539,PCYY,22,52,9,9,8,1251
245021000,FAIRLANE,70,9153654,PBFW,12,97,10,11,6.2,4349
245118000,PACIFIC DAWN,79,9558464,PBTM,90,90,10,10,5,19586
246572000,AMAZONEBORG,70,9333541,PHIN,128,15,11,11,8.6,9820
246659000,HAPPY DELTA,70,9551935,PBXF,143,13,11,15,8.3,12750
246766000,MAASGRACHT,70,9571492,PCJC,128,14,6,13,7.8,9616
246767000,MARSGRACHT,70,9571507,PCJD,128,14,6,13,7.5,9616
246768000,MERWEDEGRACHT,70,9571519,PCJE,124,18,5,14,7.7,9616
247080200,GRANDE NAPOLI,70,9247924,IBZE,27,169,10,21,8.1,25287
247086800,GRANDE ROMA,79,9247936,IBZI,29,167,16,15,7.6,25287
247341900,GRANDE DAKAR,70,9680724,IBDK,134,102,10,26,7.8,45417
247375700,GRANDE BALTIMORA,70,9784037,IBOW,40,159,29,5,9.6,26466
247376400,GRANDE HALIFAX,70,9784051,IBOS,41,159,30,2,9.8,26867
247405800,GRANDE MIRAFIORI,70,9782687,IBQY,28,171,26,10,8.1,26466
247440400,GRANDE FLORIDA,70,9782716,IBRH,181,18,20,16,9.1,26466
247441300,GRANDE CALIFORNIA,70,9796377,IBRA,26,173,21,15,7.8,26466
248089000,CAPE SOUNIO,70,9727625,9HA4509,111,219,9,39,12.3,124174
248140000,CAPE ARTEMISIO,70,9777175,9HA4529,111,219,13,35,11.3,124174
248225000,TITANIA,70,9505053,9HA2272,44,187,9,23,9.3,42591
248264000,TUGELA,70,9505065,9HA2292,38,191,32,0,10.4,41495
248403000,PARANDOWSKI,70,9432139,9HA4641,184,16,18,10,9.4,26867
248411000,PRESIDENTFDROOSEVELT,79,9400069,9HA4648,212,94,27,13,9,99004
248426000,CMA CGM LISA MARIE,70,9729099,9HA4652,115,185,32,17,8.4,93294
248432000,CMA CGM NERVAL,70,9406623,9HA2361,224,76,14,26,12.3,93294
248643000,IRINI N. LEMOS,80,9831218,9HA4739,279,54,23,37,11,127592
248699000,APL FLORIDA,79,9350032,9HA4766,220,73,25,15,11,86915
248703000,CMA CGM JEAN GABRIEL,76,9729128,9HA4767,115,185,17,32,11.7,93294
248712000,APL CALIFORNIA,74,9350044,9HA4773,220,73,28,12,13.3,86915
248758000,CMA CGM JEAN MERMOZ,71,9776420,9HA4798,128,271,29,29,12,219487
248794000,CMACGM LOUIS BLERIOT,71,9776432,9HA4811,128,271,29,29,11.4,219487
248906000,TORINO,70,9398321,9HA4855,38,162,25,7,9.2,26867
248910000,TOREADOR,70,9375288,9HA4856,40,160,25,8,10.1,26867
